,text,retweet_count,favorite_count,created_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities,Topic,x,y,topic_color
3491,"RT @zollz: 14 Days To WRC Safari Rally Kenya.

Rally1 cars are at the highest level of the WRC and have tech to promote sustainable motorsp…",17,0,2023-06-08 09:15:51+00:00,"['rt', 'zollz', '14', 'day', 'wrc', 'safari', 'rally', 'kenya', 'rally1', 'car', 'highest', 'level', 'wrc', 'tech', 'promote', 'sustainable', 'motorsp…']",0.0,0.14,0.86,0.3818,Positive,[],[],11,-2.3731267,-3.104586,"(47, 179, 91)"
3492,"Delighted to commence the 2nd day of #UNHA2 with a bike ride accompanied by the esteemed First Lady of Kenya. Promoting sustainable mobility,  we embark on a journey to champion inclusive and healthy cities for all. Together, let’s pedal towards a brighter urban future!

#SDG11 https://t.co/K2AG44aNNA",15,27,2023-06-06 07:51:07+00:00,"['delighted', 'commence', '2nd', 'day', 'unha2', 'bike', 'ride', 'accompanied', 'esteemed', 'first', 'lady', 'kenya', 'promoting', 'sustainable', 'mobility', 'embark', 'journey', 'champion', 'inclusive', 'healthy', 'city', 'together', 'let', '’', 'pedal', 'towards', 'brighter', 'urban', 'future', 'sdg11']",0.0,0.438,0.562,0.9509,Positive,[],[],11,-2.5024195,-2.9576826,"(47, 179, 91)"
3493,RT @MaimunahSharif: Delighted to commence the 2nd day of #UNHA2 with a bike ride accompanied by the esteemed First Lady of Kenya. Promoting…,15,0,2023-06-08 06:49:34+00:00,"['rt', 'maimunahsharif', 'delighted', 'commence', '2nd', 'day', 'unha2', 'bike', 'ride', 'accompanied', 'esteemed', 'first', 'lady', 'kenya', 'promoting…']",0.0,0.323,0.677,0.7351,Positive,[],[],11,-2.515741,-2.952111,"(47, 179, 91)"
3494,"E-bikes really should be a higher priority for the South African govt than EVs for the wealthy &amp; middle class.

Africa boosts homegrown e-mobility in bid to curb emissions https://t.co/xmC2Xe2i97",12,27,2023-06-04 11:28:05+00:00,"['ebikes', 'really', 'higher', 'priority', 'south', 'african', 'govt', 'ev', 'wealthy', 'amp', 'middle', 'class', 'africa', 'boost', 'homegrown', 'emobility', 'bid', 'curb', 'emission']",0.0,0.234,0.766,0.6369,Positive,[],[],11,-2.3896172,-3.0643024,"(47, 179, 91)"
3495,"RT @uminnaar: E-bikes really should be a higher priority for the South African govt than EVs for the wealthy &amp; middle class.

Africa boosts…",12,0,2023-06-06 07:00:00+00:00,"['rt', 'uminnaar', 'ebikes', 'really', 'higher', 'priority', 'south', 'african', 'govt', 'ev', 'wealthy', 'amp', 'middle', 'class', 'africa', 'boosts…']",0.0,0.143,0.857,0.3612,Positive,[],[],11,-2.369878,-3.0862293,"(47, 179, 91)"
3496,"Sustainable mobility fit for sustainable cities! 

We will be providing shuttle services to delegates attending the @UNHABITAT.  Assembly in Nairobi this week 🚌. Please see designated pick-up and drop off points and timings. #UNHA2 #Emobility https://t.co/Hc4OiCzMMC",11,34,2023-06-07 06:11:12+00:00,"['sustainable', 'mobility', 'fit', 'sustainable', 'city', 'providing', 'shuttle', 'service', 'delegate', 'attending', 'unhabitat', 'assembly', 'nairobi', 'week', '🚌', 'please', 'see', 'designated', 'pickup', 'drop', 'point', 'timing', 'unha2', 'emobility']",0.078,0.178,0.743,0.4019,Positive,"['unhabitat assembly', 'unha2']",[],11,-2.4754786,-2.984739,"(47, 179, 91)"
3497,AS an official of the newly registered Electric Mobility Association of KENYA (EMAK) &amp; @BasiGoKenya I had the previlage to engage &amp; present to @WilliamsRuto on how to accelerate Emobility and increase the local value chain. The future of  #ElectricVehicles is here. THANK SIR https://t.co/8KBR05s4u5,9,22,2023-06-02 20:29:03+00:00,"['official', 'newly', 'registered', 'electric', 'mobility', 'association', 'kenya', 'emak', 'amp', 'basigokenya', 'previlage', 'engage', 'amp', 'present', 'williamsruto', 'accelerate', 'emobility', 'increase', 'local', 'value', 'chain', 'future', 'electricvehicles', 'thank', 'sir']",0.0,0.314,0.686,0.8225,Positive,[],"['kenya', 'basigokenya']",11,-2.3700604,-3.1299644,"(47, 179, 91)"
3498,RT @moses_mnderitu: AS an official of the newly registered Electric Mobility Association of KENYA (EMAK) &amp; @BasiGoKenya I had the previlage…,9,0,2023-06-03 12:38:39+00:00,"['rt', 'mosesmnderitu', 'official', 'newly', 'registered', 'electric', 'mobility', 'association', 'kenya', 'emak', 'amp', 'basigokenya', 'previlage…']",0.0,0.0,1.0,0.0,Neutral,['basigokenya previlage…'],['kenya'],11,-2.37372,-3.1369863,"(47, 179, 91)"
3499,"🌍 Kenya has become a hub for electric vehicle start-ups. To support this growing industry, UNITAR and @KCBGroup have partnered on an initiative promoting #emobility in #Kenya.

Pilot trainings are underway for a greener future.

Learn more: https://t.co/JgoBbnSgVp
 #greeneconomy https://t.co/DdWhdr7Vwi",8,17,2023-06-03 16:03:28+00:00,"['🌍', 'kenya', 'become', 'hub', 'electric', 'vehicle', 'startup', 'support', 'growing', 'industry', 'unitar', 'kcbgroup', 'partnered', 'initiative', 'promoting', 'emobility', 'kenya', 'pilot', 'training', 'underway', 'greener', 'future', 'learn', 'greeneconomy']",0.0,0.257,0.743,0.7096,Positive,[],"['kenya', 'kenya']",11,-2.392752,-3.108722,"(47, 179, 91)"
3500,"📢#IkoKaziKE

Join our team @giz_gmbh #Kenya as Finance Manager (#EMobility) to be part of the #Energy, Transport, and #ClimateChange Programme, you'll oversee project finances, budgeting, and financial advisory!

Apply now! https://t.co/dBsEHsmtyN https://t.co/HcCdbNNQLs",8,14,2023-06-08 05:20:13+00:00,"['📢ikokazike', 'join', 'team', 'gizgmbh', 'kenya', 'finance', 'manager', 'emobility', 'part', 'energy', 'transport', 'climatechange', 'programme', 'youll', 'oversee', 'project', 'finance', 'budgeting', 'financial', 'advisory', 'apply']",0.0,0.185,0.815,0.5106,Positive,[],[],11,-2.3101676,-3.2294683,"(47, 179, 91)"
3501,"RT @bodo_immink: 📢#IkoKaziKE

Join our team @giz_gmbh #Kenya as Finance Manager (#EMobility) to be part of the #Energy, Transport, and #Cli…",8,0,2023-06-08 08:54:16+00:00,"['rt', 'bodoimmink', '📢ikokazike', 'join', 'team', 'gizgmbh', 'kenya', 'finance', 'manager', 'emobility', 'part', 'energy', 'transport', 'cli…']",0.0,0.264,0.736,0.5106,Positive,[],[],11,-2.2859313,-3.237762,"(47, 179, 91)"
3502,"RT @UNITAR: 🌍 Kenya has become a hub for electric vehicle start-ups. To support this growing industry, UNITAR and @KCBGroup have partnered…",8,0,2023-06-05 14:29:33+00:00,"['rt', 'unitar', '🌍', 'kenya', 'become', 'hub', 'electric', 'vehicle', 'startup', 'support', 'growing', 'industry', 'unitar', 'kcbgroup', 'partnered…']",0.0,0.268,0.732,0.5267,Positive,[],[],11,-2.3203213,-3.1879082,"(47, 179, 91)"
3503,RT @BasiGoKenya: Sustainability is at the core of our operations. We recently partnered with @KenyaAirways  in The Sustainable Flight Chall…,8,0,2023-06-03 12:45:00+00:00,"['rt', 'basigokenya', 'sustainability', 'core', 'operation', 'recently', 'partnered', 'kenyaairways', 'sustainable', 'flight', 'chall…']",0.0,0.0,1.0,0.0,Neutral,[],[],11,-2.318606,-3.1696808,"(47, 179, 91)"
3504,"An honor to have welcomed the esteemed First Lady of Kenya @MamaRachelRuto to the #UNHA2, a passionate advocate for promoting healthy and sustainable mobility. Her dedication to creating cities that prioritize active lifestyles and accessible transportation is truly inspiring. https://t.co/Fh7E4AggVt",7,27,2023-06-07 04:56:52+00:00,"['honor', 'welcomed', 'esteemed', 'first', 'lady', 'kenya', 'mamarachelruto', 'unha2', 'passionate', 'advocate', 'promoting', 'healthy', 'sustainable', 'mobility', 'dedication', 'creating', 'city', 'prioritize', 'active', 'lifestyle', 'accessible', 'transportation', 'truly', 'inspiring']",0.0,0.664,0.336,0.9769,Positive,['unha2'],[],11,-2.5213792,-2.966336,"(47, 179, 91)"
3505,"RT @MichalMlynar: An honor to have welcomed the esteemed First Lady of Kenya @MamaRachelRuto to the #UNHA2, a passionate advocate for promo…",7,0,2023-06-07 10:24:28+00:00,"['rt', 'michalmlynar', 'honor', 'welcomed', 'esteemed', 'first', 'lady', 'kenya', 'mamarachelruto', 'unha2', 'passionate', 'advocate', 'promo…']",0.0,0.569,0.431,0.8979,Positive,['unha2'],[],11,-2.5160794,-2.970123,"(47, 179, 91)"
3506,"I was honored to meet with Mr. Ababu Namwamba, Cabinet secretary of Youth Affairs, Sports and the Arts. Your dedication to healthy and sustainable mobility is an inspiration to all. Together, we can promote robust and inclusive communities in Kenya and beyond. 

#UNHA2 #SDG11 https://t.co/FkL40V2VvT",6,22,2023-06-07 06:17:18+00:00,"['honored', 'meet', 'mr', 'ababu', 'namwamba', 'cabinet', 'secretary', 'youth', 'affair', 'sport', 'art', 'dedication', 'healthy', 'sustainable', 'mobility', 'inspiration', 'together', 'promote', 'robust', 'inclusive', 'community', 'kenya', 'beyond', 'unha2', 'sdg11']",0.0,0.427,0.573,0.9313,Positive,['unha2'],['kenya'],11,-2.5016878,-2.9890013,"(47, 179, 91)"
3507,"RT @MaimunahSharif: I was honored to meet with Mr. Ababu Namwamba, Cabinet secretary of Youth Affairs, Sports and the Arts. Your dedication…",6,0,2023-06-08 06:45:41+00:00,"['rt', 'maimunahsharif', 'honored', 'meet', 'mr', 'ababu', 'namwamba', 'cabinet', 'secretary', 'youth', 'affair', 'sport', 'art', 'dedication…']",0.0,0.226,0.774,0.5859,Positive,[],[],11,-2.4773314,-2.9926715,"(47, 179, 91)"
3508,RT @CLEANAirAfrica: Representatives from the @NIHRglobal and @DHSCgovuk visited @CLEAN(Air)Africa study site Mukuru kwa Njenga Primary Scho…,6,0,2023-06-08 06:55:18+00:00,"['rt', 'cleanairafrica', 'representative', 'nihrglobal', 'dhscgovuk', 'visited', 'cleanairafrica', 'study', 'site', 'mukuru', 'kwa', 'njenga', 'primary', 'scho…']",0.0,0.0,1.0,0.0,Neutral,"['rt cleanairafrica', 'njenga primary']",['scho'],11,-2.410308,-3.0935063,"(47, 179, 91)"
3509,"RT @KenyaPower: Member of Kenya Power Board of Directors and the Director of Renewable Energy at the Ministry of Energy, Eng. Benson Mwakin…",6,0,2023-06-08 08:30:00+00:00,"['rt', 'kenyapower', 'member', 'kenya', 'power', 'board', 'director', 'director', 'renewable', 'energy', 'ministry', 'energy', 'eng', 'benson', 'mwakin…']",0.0,0.244,0.756,0.4939,Positive,"['kenya power board', 'energy ministry']",[],11,-2.3713717,-3.1489341,"(47, 179, 91)"
